339|P!NK|Raise Your Glass
352|EMINEM|Love The Way You Lie
353|EMINEM|Love The Way You Lie
354|EMINEM|Love The Way You Lie
355|EMINEM|Love The Way You Lie
356|EMINEM|Love The Way You Lie
357|EMINEM|Love The Way You Lie
358|EMINEM|Love The Way You Lie
436|LADY GAGA|Just Dance
437|LADY GAGA|Just Dance
438|LADY GAGA|Just Dance
483|FLO RIDA|Low
484|FLO RIDA|Low
485|FLO RIDA|Low
486|FLO RIDA|Low
487|FLO RIDA|Low
488|FLO RIDA|Low
489|FLO RIDA|Low
490|FLO RIDA|Low
491|FLO RIDA|Low
492|FLO RIDA|Low
514|PLAIN WHITE T'S|Hey There Delilah
515|PLAIN WHITE T'S|Hey There Delilah
527|AVRIL LAVIGNE|Girlfriend
595|D4L|Laffy Taffy
705|LUDACRIS|Stand Up
719|BEYONCE|Crazy In Love
720|BEYONCE|Crazy In Love
721|BEYONCE|Crazy In Love
722|BEYONCE|Crazy In Love
723|BEYONCE|Crazy In Love
724|BEYONCE|Crazy In Love
725|BEYONCE|Crazy In Love
726|BEYONCE|Crazy In Love
729|50 CENT feat NATE DOGG|21 Questions
730|50 CENT feat NATE DOGG|21 Questions
731|50 CENT feat NATE DOGG|21 Questions
732|50 CENT feat NATE DOGG|21 Questions
745|JENNIFER LOPEZ feat LL COOL J|All I Have
746|JENNIFER LOPEZ feat LL COOL J|All I Have
747|JENNIFER LOPEZ feat LL COOL J|All I Have
748|JENNIFER LOPEZ feat LL COOL J|All I Have
781|ASHANTI|Foolish
782|ASHANTI|Foolish
783|ASHANTI|Foolish
784|ASHANTI|Foolish
785|ASHANTI|Foolish
786|ASHANTI|Foolish
787|ASHANTI|Foolish
788|ASHANTI|Foolish
789|ASHANTI|Foolish
790|ASHANTI|Foolish
907|CHRISTINA AGUILERA|What A Girl Wants
908|CHRISTINA AGUILERA|What A Girl Wants
959|BRANDY|Have You Ever?
960|BRANDY|Have You Ever?
980|BRANDY|The Boy Is Mine
981|BRANDY|The Boy Is Mine
982|BRANDY|The Boy Is Mine
983|BRANDY|The Boy Is Mine
984|BRANDY|The Boy Is Mine
985|BRANDY|The Boy Is Mine
986|BRANDY|The Boy Is Mine
987|BRANDY|The Boy Is Mine
988|BRANDY|The Boy Is Mine
989|BRANDY|The Boy Is Mine
990|BRANDY|The Boy Is Mine
991|BRANDY|The Boy Is Mine
992|BRANDY|The Boy Is Mine
1090|2PAC|How Do U Want It / California Love
1091|2PAC|How Do U Want It / California Love
1337|MARIAH CAREY|Emotions
1338|MARIAH CAREY|Emotions
1339|MARIAH CAREY|Emotions
1413|SINEAD O'CONNOR|Nothing Compares 2 U
1414|SINEAD O'CONNOR|Nothing Compares 2 U
1415|SINEAD O'CONNOR|Nothing Compares 2 U
1416|SINEAD O'CONNOR|Nothing Compares 2 U
1461|BETTE MIDLER|Wind Beneath My Wings
1473|DEBBIE GIBSON|Lost In Your Eyes
1474|DEBBIE GIBSON|Lost In Your Eyes
1475|DEBBIE GIBSON|Lost In Your Eyes
1492|THE BEACH BOYS|Kokomo
1587|BANGLES|Walk Like An Egyptian
1588|BANGLES|Walk Like An Egyptian
1589|BANGLES|Walk Like An Egyptian
1590|BANGLES|Walk Like An Egyptian
1595|BOSTON|Amanda
1596|BOSTON|Amanda
1687|FOREIGNER|I Want To Know What Love Is
1688|FOREIGNER|I Want To Know What Love Is
1807|JOHN COUGAR|Jack And Diane
1808|JOHN COUGAR|Jack And Diane
1809|JOHN COUGAR|Jack And Diane
1810|JOHN COUGAR|Jack And Diane
1873|KIM CARNES|Bette Davis Eyes
1874|KIM CARNES|Bette Davis Eyes
1875|KIM CARNES|Bette Davis Eyes
1876|KIM CARNES|Bette Davis Eyes
1878|KIM CARNES|Bette Davis Eyes
1879|KIM CARNES|Bette Davis Eyes
1880|KIM CARNES|Bette Davis Eyes
1881|KIM CARNES|Bette Davis Eyes
1882|KIM CARNES|Bette Davis Eyes
1939|PINK FLOYD|Another Brick In The Wall
1940|PINK FLOYD|Another Brick In The Wall
1941|PINK FLOYD|Another Brick In The Wall
1942|PINK FLOYD|Another Brick In The Wall
2011|DONNA SUMMER|MacArthur Park
2012|DONNA SUMMER|MacArthur Park
2013|DONNA SUMMER|MacArthur Park
2102|THE EAGLES|New Kid In Town / Victim Of Love
2154|RHYTHM HERITAGE|Theme From 'S.W.A.T.'
2198|B.J. THOMAS|(Hey Won't You Play) Another Somebody Done Somebody Wrong So
2252|ELTON JOHN|Bennie And The Jets
2409|TEMPTATIONS|Just My Imagination
2410|TEMPTATIONS|Just My Imagination
2435|NEIL DIAMOND|Cracklin' Rosie
2468|SLY AND THE FAMILY STONE|Thank You (Falettin Me Be Mice Elf Agin)
2469|SLY AND THE FAMILY STONE|Thank You (Falettin Me Be Mice Elf Agin)
2472|B.J. THOMAS|Raindrops Keep Fallin' On My Head
2473|B.J. THOMAS|Raindrops Keep Fallin' On My Head
2474|B.J. THOMAS|Raindrops Keep Fallin' On My Head
2475|B.J. THOMAS|Raindrops Keep Fallin' On My Head
2485|TEMPTATIONS|I Can't Get Next To You
2486|TEMPTATIONS|I Can't Get Next To You
2514|TOMMY ROE|Dizzy
2515|TOMMY ROE|Dizzy
2516|TOMMY ROE|Dizzy
2517|TOMMY ROE|Dizzy
2548|THE DOORS|Hello, I Love You
2549|THE DOORS|Hello, I Love You
2576|JOHN FRED AND HIS PLAYBOY BAND|Judy In Disguise (With Glasses)
2577|JOHN FRED AND HIS PLAYBOY BAND|Judy In Disguise (With Glasses)
2595|BOBBY GENTRY|Ode To Billie Joe
2596|BOBBY GENTRY|Ode To Billie Joe
2597|BOBBY GENTRY|Ode To Billie Joe
2598|BOBBY GENTRY|Ode To Billie Joe
2642|THE FOUR TOPS|Reach Out I'll Be There
2643|THE FOUR TOPS|Reach Out I'll Be There
2649|DONOVAN|Sunshine Superman
2667|YOUNG RASCALS|Good Lovin'
2677|LOU CHRISTIE|Lightnin' Strikes
2678|PETULA CLARK|My Love
2679|PETULA CLARK|My Love
2685|DAVE CLARK FIVE|Over And Over
2732|PETULA CLARK|Downtown
2733|PETULA CLARK|Downtown
2838|STEVE LAWRENCE|Go Away Little Girl
2839|STEVE LAWRENCE|Go Away Little Girl
2859|LITTLE EVA|The Loco-Motion
2860|NEIL SEDAKA|Breaking Up Is Hard To Do
2861|NEIL SEDAKA|Breaking Up Is Hard To Do
2881|BRUCE CHANNEL|Hey Baby
2882|BRUCE CHANNEL|Hey Baby
2883|BRUCE CHANNEL|Hey Baby
2960|ELVIS PRESLEY|It's Now Or Never
2961|ELVIS PRESLEY|It's Now Or Never
2962|ELVIS PRESLEY|It's Now Or Never
2963|ELVIS PRESLEY|It's Now Or Never
2964|ELVIS PRESLEY|It's Now Or Never
2972|EVERLY BROTHERS|Cathy's Clown
2973|EVERLY BROTHERS|Cathy's Clown
2974|EVERLY BROTHERS|Cathy's Clown
2975|EVERLY BROTHERS|Cathy's Clown
2976|EVERLY BROTHERS|Cathy's Clown
2981|PERCY FAITH|Theme From 'A Summer Place'
2982|PERCY FAITH|Theme From 'A Summer Place'
2983|PERCY FAITH|Theme From 'A Summer Place'
2984|PERCY FAITH|Theme From 'A Summer Place'
2985|PERCY FAITH|Theme From 'A Summer Place'
2986|PERCY FAITH|Theme From 'A Summer Place'
2987|PERCY FAITH|Theme From 'A Summer Place'
2988|PERCY FAITH|Theme From 'A Summer Place'
2989|PERCY FAITH|Theme From 'A Summer Place'
3057|TOMMY EDWARDS|It's All In The Game
3058|TOMMY EDWARDS|It's All In The Game
3059|TOMMY EDWARDS|It's All In The Game
3060|TOMMY EDWARDS|It's All In The Game
3061|TOMMY EDWARDS|It's All In The Game
3062|TOMMY EDWARDS|It's All In The Game
3085|THE PLATTERS|Twilight Time
3091|ELVIS PRESLEY|Don't
3176|GOGI GRANT|The Wayward Wind
3177|GOGI GRANT|The Wayward Wind
3178|GOGI GRANT|The Wayward Wind
3179|GOGI GRANT|The Wayward Wind
3180|GOGI GRANT|The Wayward Wind
3181|GOGI GRANT|The Wayward Wind
3211|FOUR ACES|Love Is A Many Splendored Thing
3212|FOUR ACES|Love Is A Many Splendored Thing
3213|FOUR ACES|Love Is A Many Splendored Thing
3214|ROGER WILLIAMS|Autumn Leaves
3215|ROGER WILLIAMS|Autumn Leaves
3216|FOUR ACES|Love Is A Many Splendored Thing
3218|FOUR ACES|Love Is A Many Splendored Thing
3224|BILL HALEY & THE COMETS|Rock Around The Clock
3225|BILL HALEY & THE COMETS|Rock Around The Clock
3226|BILL HALEY & THE COMETS|Rock Around The Clock
3227|BILL HALEY & THE COMETS|Rock Around The Clock
3228|BILL HALEY & THE COMETS|Rock Around The Clock
3229|BILL HALEY & THE COMETS|Rock Around The Clock
3230|BILL HALEY & THE COMETS|Rock Around The Clock
3231|BILL HALEY & THE COMETS|Rock Around The Clock
3242|BILL HAYES|The Ballad Of Davy Crockett
3243|BILL HAYES|The Ballad Of Davy Crockett
3244|BILL HAYES|The Ballad Of Davy Crockett
3245|BILL HAYES|The Ballad Of Davy Crockett
3246|BILL HAYES|The Ballad Of Davy Crockett
3266|ROSEMARY CLOONEY|Hey There
3267|ROSEMARY CLOONEY|Hey There
3268|ROSEMARY CLOONEY|Hey There
3269|ROSEMARY CLOONEY|Hey There
3270|ROSEMARY CLOONEY|Hey There
3271|ROSEMARY CLOONEY|Hey There
3288|PERRY COMO|Wanted
3289|PERRY COMO|Wanted
3290|PERRY COMO|Wanted
3291|PERRY COMO|Wanted
3292|PERRY COMO|Wanted
3293|PERRY COMO|Wanted
3294|PERRY COMO|Wanted
3295|PERRY COMO|Wanted
3310|TONY BENNETT|Rags To Riches
3311|TONY BENNETT|Rags To Riches
3312|TONY BENNETT|Rags To Riches
3313|TONY BENNETT|Rags To Riches
3314|TONY BENNETT|Rags To Riches
3315|TONY BENNETT|Rags To Riches
3355|PERRY COMO|Don't Let The Stars Get In Your Eyes
3356|PERRY COMO|Don't Let The Stars Get In Your Eyes
3357|PERRY COMO|Don't Let The Stars Get In Your Eyes
3358|PERRY COMO|Don't Let The Stars Get In Your Eyes
3359|PERRY COMO|Don't Let The Stars Get In Your Eyes
3386|PERCY FAITH|Delicado
3387|AL MARTINO|Here In My Heart
3388|AL MARTINO|Here In My Heart
3389|LEROY ANDERSON|Blue Tango
3390|AL MARTINO|Here In My Heart
3391|LEROY ANDERSON|Blue Tango
3392|LEROY ANDERSON|Blue Tango
3393|LEROY ANDERSON|Blue Tango
3403|JOHNNIE RAY|Cry
3404|JOHNNIE RAY|Cry
3405|JOHNNIE RAY|Cry
3406|JOHNNIE RAY|Cry
3407|JOHNNIE RAY|Cry
3408|JOHNNIE RAY|Cry
3409|JOHNNIE RAY|Cry
3410|JOHNNIE RAY|Cry
3411|JOHNNIE RAY|Cry
3412|JOHNNIE RAY|Cry
3413|JOHNNIE RAY|Cry
3416|TONY BENNETT|Cold Cold Heart
3417|TONY BENNETT|Cold Cold Heart
3418|TONY BENNETT|Cold Cold Heart
3419|TONY BENNETT|Cold Cold Heart
3420|TONY BENNETT|Cold Cold Heart
3421|TONY BENNETT|Cold Cold Heart
3436|NAT KING COLE|Too Young
3437|NAT KING COLE|Too Young
3438|NAT KING COLE|Too Young
3439|NAT KING COLE|Too Young
3440|NAT KING COLE|Too Young
3441|LES PAUL & MARY FORD|How High The Moon
3442|LES PAUL & MARY FORD|How High The Moon
3443|LES PAUL & MARY FORD|How High The Moon
3444|LES PAUL & MARY FORD|How High The Moon
3445|LES PAUL & MARY FORD|How High The Moon
3446|LES PAUL & MARY FORD|How High The Moon
3447|LES PAUL & MARY FORD|How High The Moon
3448|LES PAUL & MARY FORD|How High The Moon
3449|LES PAUL & MARY FORD|How High The Moon
3457|PATTI PAGE|Tennessee Waltz
3458|PATTI PAGE|Tennessee Waltz
3459|PATTI PAGE|Tennessee Waltz
3460|PATTI PAGE|Tennessee Waltz
3461|PATTI PAGE|Tennessee Waltz
3462|PATTI PAGE|Tennessee Waltz
3463|PATTI PAGE|Tennessee Waltz
3464|PATTI PAGE|Tennessee Waltz
3465|PATTI PAGE|Tennessee Waltz
3490|ANTON KARAS|Third Man Theme
3491|ANTON KARAS|Third Man Theme
3492|ANTON KARAS|Third Man Theme
3493|ANTON KARAS|Third Man Theme
3494|ANTON KARAS|Third Man Theme
3495|ANTON KARAS|Third Man Theme
3496|ANTON KARAS|Third Man Theme
3497|ANTON KARAS|Third Man Theme
3498|ANTON KARAS|Third Man Theme
3499|ANTON KARAS|Third Man Theme
3500|ANTON KARAS|Third Man Theme
3501|EILEEN BARTON|If I Knew You Were Comin'
3502|EILEEN BARTON|If I Knew You Were Comin'
3511|AMES BROTHERS|Rag Mop
3516|GENE AUTREY|Rudolph The Red Nosed Reindeer
3534|PERRY COMO|Some Enchanted Evening
3535|PERRY COMO|Some Enchanted Evening
3536|PERRY COMO|Some Enchanted Evening
3537|PERRY COMO|Some Enchanted Evening
3538|PERRY COMO|Some Enchanted Evening
3539|VAUGHN MONROE|Riders In The Sky
3540|VAUGHN MONROE|Riders In The Sky
3541|VAUGHN MONROE|Riders In The Sky
3542|VAUGHN MONROE|Riders In The Sky
3543|VAUGHN MONROE|Riders In The Sky
3544|VAUGHN MONROE|Riders In The Sky
3545|VAUGHN MONROE|Riders In The Sky
3546|VAUGHN MONROE|Riders In The Sky
3547|VAUGHN MONROE|Riders In The Sky
3548|VAUGHN MONROE|Riders In The Sky
3549|VAUGHN MONROE|Riders In The Sky
3557|BLUE BARRON|Cruising Down The River
3558|BLUE BARRON|Cruising Down The River
3587|AL TRACE / BOB VINCENT|You Call Everybody Darling
