Chart1|Chart2|Chart3|Chart4|Track|Artist|Date|Chart5|Chart6|Chart7|Date2
1|1|1|19|Despacito|LUIS FONSI featuring DADDY YANKEE|2017-02-04|88|1|19|20170610
2|2|1|18|That's What I Like|BRUNO MARS|2017-02-11|82|1|18|20170610
3|3|1|4|I'm The One|DJ KHALED featuring JUSTIN BIEBER, QUAVO, CHANCE THE RAPPER|2017-05-20|1|1|4|20170610
4|5|1|8|Humble.|KENDRICK LAMAR|2017-04-22|2|1|8|20170610
5|4|1|20|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170610
6|7|5|14|Mask Off|FUTURE|2017-03-11|49|5|14|20170610
7|9|7|13|Stay|ZEDD & ALESSIA CARA|2017-03-18|28|7|13|20170610
8|6|3|14|Something Just Like This|THE CHAINSMOKERS & COLDPLAY|2017-03-11|56|3|14|20170610
9|8|8|9|XO TOUR Llif3|LIL UZI VERT|2017-04-15|49|8|9|20170610
10|12|10|15|It Ain't Me|KYGO x SELENA GOMEZ|2017-03-04|93|10|15|20170610
11|14|11|18|Issues|JULIA MICHAELS|2017-02-11|87|11|18|20170610
12|11|11|31|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|11|31|20170610
13|13|12|21|Congratulations|POST MALONE featuring QUAVO|2017-01-21|90|12|21|20170610
14|16|6|17|Body Like A Back Road|SAM HUNT|2017-02-18|38|6|17|20170610
15|20|15|16|Believer|IMAGINE DRAGONS|2017-02-25|43|15|16|20170610
16|15|4|22|iSpy|KYLE featuring LIL YACHTY|2017-01-14|80|4|22|20170610
17|17|4|7|Sign Of The Times|HARRY STYLES|2017-04-29|4|4|7|20170610
18|10|10|3|Malibu|MILEY CYRUS|2017-05-27|64|10|3|20170610
19|23|19|16|In Case You Didn't Know|BRETT YOUNG|2017-02-25|94|19|16|20170610
20|18|4|6|DNA.|KENDRICK LAMAR|2017-05-06|4|4|6|20170610
21|19|16|20|Location|KHALID|2017-01-28|77|16|20|20170610
22|29|22|13|Redbone|CHILDISH GAMBINO|2017-03-18|83|22|13|20170610
23|24|23|7|Unforgettable|FRENCH MONTANA featuring SWAE LEE|2017-04-29|74|23|7|20170610
24|21|8|10|Passionfruit|DRAKE|2017-04-08|8|8|10|20170610
25|32|25|5|There's Nothing Holdin' Me Back|SHAWN MENDES|2017-05-13|44|25|5|20170610
26|38|26|7|Now Or Never|HALSEY|2017-04-29|50|26|7|20170610
27|80|27|2|Bad Liar|SELENA GOMEZ|2017-06-03|80|27|2|20170610
28|22|1|28|Bad And Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|28|20170610
29|25|25|13|Slide|CALVIN HARRIS featuring FRANK OCEAN & MIGOS|2017-03-18|34|25|13|20170610
30|39|6|20|Castle On The Hill|ED SHEERAN|2017-01-28|6|6|20|20170610
31|30|30|15|Rolex|AYO & TEO|2017-03-04|87|30|15|20170610
32|27|1|43|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|43|20170610
33|36|33|10|Swalla|JASON DERULO featuring NICKI MINAJ & TY DOLLA $IGN|2017-04-08|98|33|10|20170610
34|26|6|14|Tunnel Vision|KODAK BLACK|2017-03-11|27|6|14|20170610
35|45|35|5|Attention|CHARLIE PUTH|2017-05-13|68|35|5|20170610
36|37|32|8|Goosebumps|TRAVIS SCOTT|2017-04-22|43|32|8|20170610
37|31|19|19|T-Shirt|MIGOS|2017-02-04|43|19|19|20170610
38|40|4|33|24K Magic|BRUNO MARS|2016-10-29|5|4|33|20170610
39|35|26|23|Swang|RAE SREMMURD|2017-01-07|99|26|23|20170610
40|34|31|15|Hurricane|LUKE COMBS|2017-03-04|96|31|15|20170610
41|28|9|25|Rockabye|CLEAN BANDIT featuring SEAN PAUL & ANNE-MARIE|2016-12-24|100|9|25|20170610
42|NEW|42|1|Strip That Down|LIAM PAYNE featuring QUAVO|2017-06-10|42|42|1|20170610
43|NEW|43|1|Deja Vu|LAUREN DUSKI|2017-06-10|43|43|1|20170610
44|33|16|15|Cold|MAROON 5 featuring FUTURE|2017-03-04|42|16|15|20170610
