Index|Chart|Weeks|Artist|Track|Date|Length
1|19|LUIS FONSI|Despacito|06-10-2017|227
1|1|18|LUIS FONSI|Despacito|06-03-2017|227
2|1|17|LUIS FONSI|Despacito|05-27-2017|227
3|1|1|DJ KHALED|I'm The One|05-20-2017|288
4|1|14|BRUNO MARS|That's What I Like|05-13-2017|206
5|1|3|KENDRICK LAMAR|Humble.|05-06-2017|177
6|1|14|ED SHEERAN|Shape Of You|04-29-2017|234
7|1|13|ED SHEERAN|Shape Of You|04-22-2017|234
8|1|12|ED SHEERAN|Shape Of You|04-15-2017|234
9|1|11|ED SHEERAN|Shape Of You|04-08-2017|234
10|1|10|ED SHEERAN|Shape Of You|04-01-2017|234
11|1|9|ED SHEERAN|Shape Of You|03-25-2017|234
12|1|8|ED SHEERAN|Shape Of You|03-18-2017|234
13|1|7|ED SHEERAN|Shape Of You|03-11-2017|234
14|1|6|ED SHEERAN|Shape Of You|03-04-2017|234
15|1|5|ED SHEERAN|Shape Of You|02-25-2017|234
16|1|4|ED SHEERAN|Shape Of You|02-18-2017|234
17|1|11|MIGOS|Bad And Boujee|02-11-2017|332
18|1|10|MIGOS|Bad And Boujee|02-04-2017|332
19|1|1|ED SHEERAN|Shape Of You|01-28-2017|234
20|1|8|MIGOS|Bad And Boujee|01-21-2017|332
21|1|16|RAE SREMMURD|Black Beatles|01-14-2017|197
22|1|14|THE WEEKND|Starboy|01-07-2017|230
23|1|14|RAE SREMMURD|Black Beatles|12-31-2016|197
24|1|13|RAE SREMMURD|Black Beatles|12-24-2016|197
25|1|12|RAE SREMMURD|Black Beatles|12-17-2016|197
26|1|11|RAE SREMMURD|Black Beatles|12-10-2016|197
27|1|10|RAE SREMMURD|Black Beatles|12-03-2016|197
28|1|9|RAE SREMMURD|Black Beatles|11-26-2016|197
29|1|14|THE CHAINSMOKERS|Closer|11-19-2016|244
30|1|13|THE CHAINSMOKERS|Closer|11-12-2016|244
31|1|12|THE CHAINSMOKERS|Closer|11-05-2016|244
32|1|11|THE CHAINSMOKERS|Closer|10-29-2016|244
33|1|10|THE CHAINSMOKERS|Closer|10-22-2016|244
34|1|9|THE CHAINSMOKERS|Closer|10-15-2016|244
35|1|8|THE CHAINSMOKERS|Closer|10-08-2016|244
36|1|7|THE CHAINSMOKERS|Closer|10-01-2016|244
37|1|6|THE CHAINSMOKERS|Closer|09-24-2016|244
38|1|5|THE CHAINSMOKERS|Closer|09-17-2016|244
39|1|4|THE CHAINSMOKERS|Closer|09-10-2016|244
40|1|3|THE CHAINSMOKERS|Closer|09-03-2016|244
41|1|26|SIA|Cheap Thrills|08-27-2016|211
42|1|25|SIA|Cheap Thrills|08-20-2016|211
43|1|24|SIA|Cheap Thrills|08-13-2016|211
44|1|23|SIA|Cheap Thrills|08-06-2016|211
45|1|15|DRAKE|One Dance|07-30-2016|174
46|1|14|DRAKE|One Dance|07-23-2016|174
47|1|13|DRAKE|One Dance|07-16-2016|174
48|1|12|DRAKE|One Dance|07-09-2016|174
49|1|11|DRAKE|One Dance|07-02-2016|174
50|1|10|DRAKE|One Dance|06-25-2016|174
51|1|9|DRAKE|One Dance|06-18-2016|174
52|1|8|DRAKE|One Dance|06-11-2016|174
53|1|7|DRAKE|One Dance|06-04-2016|174
54|1|1|JUSTIN TIMBERLAKE|Can't Stop The Feeling!|05-28-2016|236
55|1|5|DRAKE|One Dance|05-21-2016|174
56|1|10|DESIIGNER|Panda|05-14-2016|226
57|1|9|DESIIGNER|Panda|05-07-2016|226
58|1|12|RIHANNA|Work|04-30-2016|219
59|1|11|RIHANNA|Work|04-23-2016|219
60|1|10|RIHANNA|Work|04-16-2016|219
61|1|9|RIHANNA|Work|04-09-2016|219
62|1|8|RIHANNA|Work|04-02-2016|219
63|1|7|RIHANNA|Work|03-26-2016|219
64|1|6|RIHANNA|Work|03-19-2016|219
65|1|5|RIHANNA|Work|03-12-2016|219
66|1|4|RIHANNA|Work|03-05-2016|219
67|1|13|JUSTIN BIEBER|Love Yourself|02-27-2016|233
68|1|1|ZAYN|Pillowtalk|02-20-2016|203
69|1|11|JUSTIN BIEBER|Love Yourself|02-13-2016|233
70|1|13|JUSTIN BIEBER|Sorry|02-06-2016|200
71|1|12|JUSTIN BIEBER|Sorry|01-30-2016|200
72|1|11|JUSTIN BIEBER|Sorry|01-23-2016|200
73|1|10|ADELE|Hello|01-16-2016|295
74|1|9|ADELE|Hello|01-09-2016|295
75|1|8|ADELE|Hello|01-02-2016|295
76|1|7|ADELE|Hello|12-26-2015|295
77|1|6|ADELE|Hello|12-19-2015|295
78|1|5|ADELE|Hello|12-12-2015|295
79|1|4|ADELE|Hello|12-05-2015|295
80|1|3|ADELE|Hello|11-28-2015|295
81|1|2|ADELE|Hello|11-21-2015|295
82|1|1|ADELE|Hello|11-14-2015|295
83|1|22|THE WEEKND|The Hills|11-07-2015|242
84|1|21|THE WEEKND|The Hills|10-31-2015|242
85|1|20|THE WEEKND|The Hills|10-24-2015|242
86|1|19|THE WEEKND|The Hills|10-17-2015|242
87|1|18|THE WEEKND|The Hills|10-10-2015|242
88|1|17|THE WEEKND|The Hills|10-03-2015|242
89|1|14|THE WEEKND|Can't Feel My Face|09-26-2015|213
90|1|1|JUSTIN BIEBER|What Do You Mean?|09-19-2015|205
91|1|12|THE WEEKND|Can't Feel My Face|09-12-2015|213
92|1|18|OMI|Cheerleader|09-05-2015|261
93|1|17|OMI|Cheerleader|08-29-2015|261
94|1|9|THE WEEKND|Can't Feel My Face|08-22-2015|213
95|1|15|OMI|Cheerleader|08-15-2015|261
96|1|14|OMI|Cheerleader|08-08-2015|261
97|1|13|OMI|Cheerleader|08-01-2015|261
98|1|12|OMI|Cheerleader|07-25-2015|261
99|1|17|WIZ KHALIFA|See You Again|07-18-2015|229
100|1|16|WIZ KHALIFA|See You Again|07-11-2015|229
101|1|15|WIZ KHALIFA|See You Again|07-04-2015|229
102|1|14|WIZ KHALIFA|See You Again|06-27-2015|229
103|1|13|WIZ KHALIFA|See You Again|06-20-2015|229
104|1|12|WIZ KHALIFA|See You Again|06-13-2015|229
105|1|2|TAYLOR SWIFT|Bad Blood|06-06-2015|199
106|1|10|WIZ KHALIFA|See You Again|05-30-2015|229
107|1|9|WIZ KHALIFA|See You Again|05-23-2015|229
108|1|8|WIZ KHALIFA|See You Again|05-16-2015|229
109|1|7|WIZ KHALIFA|See You Again|05-09-2015|229
110|1|6|WIZ KHALIFA|See You Again|05-02-2015|229
111|1|5|WIZ KHALIFA|See You Again|04-25-2015|229
112|1|21|MARK RONSON|Uptown Funk!|04-18-2015|335
113|1|20|MARK RONSON|Uptown Funk!|04-11-2015|335
114|1|19|MARK RONSON|Uptown Funk!|04-04-2015|335
115|1|18|MARK RONSON|Uptown Funk!|03-28-2015|335
116|1|17|MARK RONSON|Uptown Funk!|03-21-2015|335
117|1|16|MARK RONSON|Uptown Funk!|03-14-2015|335
118|1|15|MARK RONSON|Uptown Funk!|03-07-2015|335
119|1|14|MARK RONSON|Uptown Funk!|02-28-2015|335
120|1|13|MARK RONSON|Uptown Funk!|02-21-2015|335
121|1|12|MARK RONSON|Uptown Funk!|02-14-2015|335
122|1|11|MARK RONSON|Uptown Funk!|02-07-2015|335
123|1|10|MARK RONSON|Uptown Funk!|01-31-2015|335
