Chart1|Chart2|Chart3|Chart4|Track|Artist|Date|Chart5|Chart6|Chart7|Date2
1|1|1|19|Despacito|LUIS FONSI featuring DADDY YANKEE|2017-02-04|88|1|19|20170610
1|1|1|18|Despacito|LUIS FONSI featuring DADDY YANKEE|2017-02-04|88|1|19|20170603
1|3|1|17|Despacito|LUIS FONSI featuring DADDY YANKEE|2017-02-04|88|1|19|20170527
1|NEW|1|1|I'm The One|DJ KHALED featuring JUSTIN BIEBER, QUAVO, CHANCE THE RAPPER|2017-05-20|1|1|4|20170520
1|3|1|14|That's What I Like|BRUNO MARS|2017-02-11|82|1|18|20170513
1|3|1|3|Humble.|KENDRICK LAMAR|2017-04-22|2|1|8|20170506
1|1|1|14|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170429
1|1|1|13|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170422
1|1|1|12|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170415
1|1|1|11|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170408
1|1|1|10|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170401
1|1|1|9|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170325
1|1|1|8|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170318
1|1|1|7|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170311
1|1|1|6|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170304
1|1|1|5|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170225
1|2|1|4|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170218
1|1|1|11|Bad And Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|28|20170211
1|2|1|10|Bad And Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|28|20170204
1|NEW|1|1|Shape Of You|ED SHEERAN|2017-01-28|1|1|20|20170128
1|2|1|8|Bad And Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|28|20170121
1|2|1|16|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|27|20170114
